"date,""min"",""max"",""median"",""q1"",""q3"",""stdev"",""count"""
"12/10/2019,""11.02"",""255.1"",""18.25"",""15.97"",""24.62"",""22.41"",""356"""
"12/11/2019,""10.49"",""73.64"",""24.75"",""17.55"",""34.58"",""11.014"",""416"""
"12/12/2019,""4.26"",""32.38"",""12.78"",""8.77"",""18.2"",""6.989"",""476"""
"12/13/2019,""5.86"",""22.38"",""11.76"",""9.88"",""14.96"",""3.429"",""538"""
"12/14/2019,""3.28"",""24.66"",""10.18"",""6.36"",""14.44"",""4.628"",""388"""
"12/15/2019,""7.52"",""56.18"",""22.28"",""17.5"",""28.84"",""8.063"",""551"""
"12/16/2019,""7.78"",""30.38"",""20.79"",""17.63"",""22.78"",""4.891"",""268"""
"12/17/2019,""7.3"",""655.05"",""14.36"",""13.06"",""16.48"",""79.168"",""278"""
"12/18/2019,""13.75"",""389.72"",""21.65"",""17.92"",""27.89"",""39.387"",""455"""
"12/19/2019,""8.35"",""49.72"",""20.53"",""16.38"",""26.17"",""7.154"",""536"""
"12/20/2019,""9.6"",""50.95"",""19.93"",""15.14"",""30.76"",""9.905"",""552"""
"12/21/2019,""6.78"",""61"",""22.92"",""12.93"",""38.29"",""13.686"",""544"""
"12/22/2019,""13.23"",""41.58"",""20.89"",""18.07"",""25.61"",""6.37"",""555"""
"12/23/2019,""6.78"",""33.09"",""13.92"",""11.78"",""18.44"",""5.129"",""555"""
"12/24/2019,""8.69"",""34.28"",""16.59"",""14.39"",""19.2"",""3.954"",""560"""
"12/25/2019,""8.9"",""32.6"",""16.57"",""13.47"",""18.57"",""3.726"",""556"""
"12/26/2019,""12.61"",""53.62"",""21.4"",""18.79"",""25.89"",""7.852"",""561"""
"12/27/2019,""5.53"",""54.46"",""22.6"",""10.57"",""27.62"",""9.554"",""552"""
"12/28/2019,""2.2"",""91.81"",""12.78"",""5.85"",""22.76"",""16.682"",""560"""
"12/29/2019,""5.64"",""59.65"",""25.3"",""18.37"",""31.79"",""9.381"",""561"""
"12/30/2019,""9.93"",""46.44"",""30.46"",""15.59"",""35.47"",""10.079"",""558"""
"12/31/2019,""5.58"",""36.65"",""11.83"",""9.36"",""15.98"",""6.914"",""551"""
"1/1/2020,""1.85"",""21.18"",""8.06"",""3.4"",""12.86"",""4.799"",""557"""
"1/2/2020,""1.1"",""84.34"",""6.47"",""2.47"",""10.19"",""7.789"",""538"""
"1/3/2020,""6.46"",""50.92"",""16.62"",""9.91"",""21.51"",""8.031"",""528"""
"1/4/2020,""1.18"",""21.98"",""7.4"",""5.71"",""10.07"",""4.637"",""532"""
"1/5/2020,""7.84"",""138.02"",""31.35"",""25.52"",""40.92"",""16.215"",""542"""
"1/6/2020,""10.68"",""38.65"",""24.33"",""19.55"",""27.44"",""5.279"",""504"""
"1/7/2020,""2.99"",""44.36"",""12.89"",""5.68"",""14.84"",""6.094"",""458"""
"1/8/2020,""8.76"",""24.66"",""13.48"",""12.02"",""15.28"",""2.803"",""291"""
"1/9/2020,""5.94"",""33.94"",""16.98"",""12.11"",""20.85"",""5.917"",""508"""
"1/10/2020,""18.13"",""45.28"",""28.93"",""26.19"",""31.56"",""4.911"",""416"""
"1/11/2020,""3.1"",""48.96"",""23.31"",""19.07"",""30.98"",""9.547"",""501"""
"1/12/2020,""1.61"",""63.59"",""10.74"",""9.3"",""12.25"",""4.797"",""532"""
"1/13/2020,""8.1"",""42.5"",""17.3"",""11.84"",""22.48"",""6.61"",""470"""
"1/14/2020,""16.28"",""52.89"",""27.71"",""24.8"",""33.22"",""6.199"",""430"""
"1/15/2020,""4.48"",""136.02"",""19.96"",""13.35"",""34.76"",""17.772"",""443"""
"1/16/2020,""4.47"",""250.48"",""10.99"",""6.16"",""77.05"",""53.466"",""465"""
