"date","min","max","median","q1","q3","stdev","count"
"12/9/2019","16.62","153.18","53.92","47.61","80.15","28.406","308"
"12/10/2019","18.42","563.91","38.71","32.31","56.33","52.155","356"
"12/11/2019","17.36","166.37","46.39","31.14","78.37","29.721","416"
"12/12/2019","4.63","76.73","18.02","10.98","29.5","15.211","476"
"12/13/2019","7.02","46.86","19.3","14.52","28.8","9.322","538"
"12/14/2019","3.62","53.66","17.52","7.93","28.77","12.317","388"
"12/15/2019","8.24","104.99","41.36","25.35","56.28","19.417","551"
"12/16/2019","8.86","59.24","34.71","30.01","39.13","9.795","268"
"12/17/2019","8.14","1999.9","20.69","17.94","25.04","310.496","278"
"12/18/2019","18.07","1999.9","34.54","26.35","48.95","235.433","454"
"12/19/2019","12.33","101.62","35.14","26.54","48.43","16.399","536"
"12/20/2019","13.44","107.4","43.16","28.99","65.48","21.997","552"
"12/21/2019","8.26","135.33","42.2","21.53","74.04","28.498","544"
"12/22/2019","18.73","73.78","33.22","28.74","38.9","10.481","555"
"12/23/2019","9.9","92.02","26.6","19.73","42.24","14.936","555"
"12/24/2019","14.73","83.9","30.71","24.15","39.86","12.545","560"
"12/25/2019","11.46","81.73","36.81","24.22","46.92","14.998","556"
"12/26/2019","20.92","167.75","50.92","41.89","64.98","24.054","561"
"12/27/2019","6.14","101.62","40.64","15.66","52.86","21.188","552"
"12/28/2019","2.29","202.75","19.38","6.78","40.27","38.28","560"
"12/29/2019","7.05","151.66","50.67","35.34","68.48","22.757","561"
"12/30/2019","15.6","119.56","66.44","28.54","82.44","27.834","558"
"12/31/2019","6.6","91.56","19.5","14.45","29.84","18.021","551"
"1/1/2020","2","53.95","10.28","4.05","18.78","8.316","557"
"1/2/2020","1.33","204.08","10.64","2.91","21","20.554","538"
"1/3/2020","8.59","133.4","30.14","18.1","43.52","19.266","528"
"1/4/2020","1.23","57.64","11.13","7.56","16.95","9.679","532"
"1/5/2020","9.28","412.86","66.42","53.18","84.9","42.852","542"
"1/6/2020","17.12","80.94","47.76","36.31","55.35","13.461","504"
"1/7/2020","3.39","118.93","19.91","9.03","23.74","14.075","458"
"1/8/2020","11.44","63.81","23.21","19.6","27.94","7.342","291"
"1/9/2020","6.74","116.09","30.64","19.87","40.38","17.387","508"
"1/10/2020","32.29","107.95","56.18","48.46","65.36","14.043","416"
"1/11/2020","3.35","112.62","43.5","34.9","56.92","23.165","501"
"1/12/2020","1.71","166.81","15.48","12.28","18.48","12.993","532"
"1/13/2020","9.44","77.7","31.06","19.98","39.82","13.344","470"
"1/14/2020","24.82","96.34","49.34","41.18","61.26","13.406","430"
"1/15/2020","4.96","348.84","36.86","19.28","67.44","42.116","443"
"1/16/2020","4.92","581.67","18.32","8.32","182.16","131.223","465"
"1/17/2020","34.83","254.11","64.68","53.8","82.64","34.018","454"
"1/18/2020","21.47","163.16","52.26","41.32","66.56","22.116","478"
"1/19/2020","30.8","339.07","61.6","48.24","69.65","22.037","450"
"1/20/2020","13.94","148.91","44.5","32.32","58.86","21.753","353"
"1/21/2020","9.99","85.58","27.3","18.13","38.94","14.11","448"
"1/22/2020","30.84","41.8","33.82","32.15","36.38","3.088","16"
"1/23/2020","3.02","95.62","7.34","5.17","11.35","13.369","82"
"1/24/2020","1.26","61.39","9.96","3.41","17.75","11.498","263"
"1/25/2020","23.38","204.64","42.46","38.9","52.74","19.728","296"
"1/26/2020","9.99","176.6","52.18","37.22","61.28","27.775","303"
"1/27/2020","36.47","486.86","78.84","60.79","126.54","52.067","254"
"1/28/2020","42.56","193.02","93.08","70.84","118.94","32.369","273"
"1/29/2020","2.7","205.92","59.73","35.78","103.88","44.054","307"
"1/30/2020","5.44","180.94","20.64","12.26","31.66","18.094","282"
"1/31/2020","5.3","106.44","23.12","14.11","34.14","23.081","286"
"2/1/2020","6.43","107.7","25.44","14.29","38.79","20.255","320"
"2/2/2020","4.94","86.68","18.63","14.2","23.63","10.264","333"
"2/3/2020","1.06","40.63","11.14","6.5","17.18","7.849","306"
"2/4/2020","3.6","33.25","11.29","8.55","14.73","4.824","249"
"2/5/2020","7.56","45.52","18.84","14.07","28.36","8.257","115"
"2/7/2020","16.94","45.26","27.55","25.36","38.06","8.093","15"
"2/8/2020","11.12","105","27.37","20.6","45.77","20.568","193"
"2/9/2020","16.19","548.58","73.08","51.14","177.85","88.617","341"
"2/10/2020","2.46","218.94","16.09","10.54","86.22","52.638","355"
"2/11/2020","2.52","41.62","11.01","7.88","14.29","5.977","346"
"2/12/2020","1.54","328.74","11.24","6.19","21.52","21.224","370"
"2/13/2020","11","44.02","19.61","17.05","22.95","4.685","364"
"2/14/2020","24.3","198.52","37.65","31.66","68.26","31.669","375"
"2/15/2020","13.28","169.94","64.22","45.29","99.96","35.39","317"
"2/16/2020","17.1","264.54","84.59","38.24","105.46","49.825","298"
"2/17/2020","7.95","166.78","21.68","14.32","26.36","13.939","343"
"2/18/2020","7.7","95.24","25.56","21.65","30.59","9.768","308"
"2/19/2020","8.96","249.62","57.26","44.06","72.06","25.759","435"
"2/20/2020","11.36","114.4","27.48","21.87","32.22","11.229","488"
"2/21/2020","11.48","133.25","23.57","18.17","30.5","14.317","404"
"2/22/2020","13.6","206.48","30.91","24.42","41.78","28.872","407"
"2/23/2020","14.58","63.7","27.43","21.86","33.33","9.396","438"
"2/24/2020","0.79","96.52","6.3","2.97","10.17","10.076","512"
"2/25/2020","1.42","56.9","5.8","3.91","8.46","4.459","439"
"2/26/2020","2.37","31.75","11.73","8.34","16.41","5.125","378"
"2/27/2020","12.45","40.15","20.95","17.8","26.05","5.486","526"
"2/28/2020","0.76","83.06","11.33","5.38","23.4","14.461","541"
"2/29/2020","3.96","601.16","46.81","24.95","109.42","98.407","560"
"3/1/2020","3.41","212.08","41.83","10.19","117.8","57.856","564"
"3/2/2020","5.24","79.95","16.07","10.42","28.88","14.48","451"
"3/3/2020","2.27","125.84","15.21","8.52","20.14","12.749","406"
"3/4/2020","4.51","59.18","14.1","10.4","27","12.7","573"
"3/5/2020","2.7","159.62","37.9","8.1","54.3","25.734","573"
"3/6/2020","5.18","87.42","17.01","13.48","21.93","9.779","576"
"3/7/2020","5.14","147.57","25.32","16.13","32.67","15.316","576"
"3/8/2020","2.52","55.06","21.04","5.66","29.34","12.326","573"
"3/9/2020","7.84","226.78","34.88","20.3","59.24","27.888","571"
"3/10/2020","35.7","93.31","49.69","44.66","57.54","10.375","561"
"3/11/2020","4.33","59.45","27.4","16.01","39.14","13.787","565"
"3/12/2020","1.55","124.37","9.11","4.67","16.02","21.997","484"
"3/13/2020","2.27","118.2","10.1","6.53","15.46","13.959","477"
"3/14/2020","1.1","154.35","6.54","3.22","12.05","15.499","536"
"3/15/2020","0.66","156.6","8.38","4.8","12.99","21.279","283"
"3/16/2020","1.11","105.21","10.46","4.88","30.49","22.031","572"
"3/17/2020","2.82","342.32","30.97","9.03","88.96","51.12","558"
"3/18/2020","7.58","750.85","96.93","61.38","121.59","72.823","358"
"3/19/2020","9.16","260.92","50.01","26.23","78.84","40.846","540"
"3/20/2020","3.2","223.26","28.04","11.66","65.47","37.147","460"
"3/21/2020","3.49","267.02","28.3","12.14","102.06","50.395","470"
"3/22/2020","1.76","42.42","17.16","3.85","26.02","11.285","435"
"3/23/2020","1.5","17.57","3.82","2.72","4.66","2.173","415"
"3/24/2020","2.5","34.47","6.05","4.26","8.59","4.646","434"
"3/25/2020","3.05","44.16","10.58","7.08","17.82","9.634","395"
"3/26/2020","3.55","100.05","31.48","17.39","55.28","21.82","407"
"3/27/2020","37.13","151.38","74.81","61.05","90.21","22.379","351"
"3/28/2020","18.8","80.26","52.91","44.85","59.85","12.639","171"
"3/29/2020","9.84","388.85","27.02","19.64","39.65","32.694","330"
"3/30/2020","36.25","116.1","56.59","48.59","67.73","13.58","131"
"3/31/2020","1.7","61.58","19.35","5.05","32.93","14.566","294"
"4/1/2020","1","561.02","36.15","5.35","98.77","86.396","172"
"4/2/2020","3.95","124.71","15.06","11.5","25.15","17.076","386"
"4/3/2020","6.65","99.65","18.61","11.58","26.99","12.044","392"
"4/4/2020","4.42","195.74","20.66","11.42","33.35","17.084","509"
"4/5/2020","2.75","95.22","14.79","8.68","23.21","13.993","500"
"4/6/2020","2.1","536.17","11.08","6.12","46.19","52.362","466"
"4/7/2020","4.16","191.95","43.6","11.35","65.9","31.267","435"
"4/8/2020","3.86","155.9","11.5","8.16","27.81","22.623","449"
"4/9/2020","6.55","204.5","28.08","21.9","47.46","22.285","431"
"4/10/2020","8.76","121.35","19.19","14.72","34.65","16.948","443"
"4/11/2020","1.78","105.82","5.64","3.78","7.94","11.932","145"
"4/12/2020","0.72","196.62","4.92","2.91","10.65","14.342","571"
"4/13/2020","1.84","121.78","7.35","4.88","12.5","13.457","570"
"4/14/2020","3.18","49.91","12.22","9.14","15.81","5.826","461"
"4/15/2020","0.45","38.58","6.76","3.36","12.82","7.777","510"
"4/16/2020","4.95","236.48","15.33","10.6","27.96","34.002","485"
"4/17/2020","6.8","273.06","88.31","25.43","114.4","51.472","567"
"4/18/2020","3.32","258.55","26.71","13.2","116.17","57.337","570"
"4/19/2020","8.07","103.11","27.08","20.35","37.02","14.242","557"
"4/20/2020","1.81","89.19","20.16","13.13","27.05","14.167","508"
"4/21/2020","1.42","194.02","7.13","4.43","10.69","18.552","382"
"4/22/2020","1.35","99.98","7.12","4.18","11.81","9.204","419"
"4/23/2020","2.56","191.85","16.73","8.3","25.95","19.44","476"
"4/24/2020","2.5","272.86","15.52","8.93","27.58","23.515","539"
"4/25/2020","1.88","112.92","5.75","4.51","7.48","11.188","504"
"4/26/2020","1.76","40.02","6.38","4.26","9.07","5.755","552"
"4/27/2020","2","74.8","5.43","3.93","8.16","7.449","532"
"4/28/2020","1.02","134.85","6.01","3.48","23.11","21.073","356"
"4/29/2020","1.2","41.01","6.6","4.04","10.97","5.633","518"
"4/30/2020","1.52","180.85","8.48","5.98","12.09","11.065","541"
"5/1/2020","3.12","57.92","10.5","7.96","15.32","8.403","371"
"5/2/2020","3.8","125.48","15.54","8.36","25.06","13.266","540"
"5/3/2020","1.36","47.2","10.23","3.78","17.88","8.426","570"
"5/4/2020","1.91","92.57","13.02","8","41.75","21.696","527"
"5/5/2020","1.15","53.03","9.94","5.09","14.79","7.704","489"
"5/6/2020","1.96","15.9","5.26","3.76","7.92","2.981","571"
"5/7/2020","1.06","166.21","3.45","2.04","6.03","12.741","381"
"5/8/2020","0.4","386.45","3.6","1.95","15.28","53.707","339"
"5/9/2020","1.12","77.59","5.77","3.46","16.55","8.929","339"
"5/10/2020","1.02","17.68","4.04","3","5.66","2.263","243"
"5/11/2020","1.96","111.57","7.11","4.01","9.57","17.311","342"
"5/12/2020","1.86","47.36","7.14","4.84","10.32","5.48","462"
"5/13/2020","0.56","49.9","4.47","2.66","8","6.495","443"
"5/14/2020","0.64","42.6","5.56","3.52","12.72","8.757","456"
"5/15/2020","0.45","80.52","6.12","2.52","10.8","6.274","519"
"5/16/2020","1.1","28.88","6.44","4.43","8.38","3.588","331"
"5/17/2020","0.84","207.5","4.69","3.18","7.22","15.473","534"
"5/18/2020","0.84","18.1","3.18","2.1","4.86","2.347","463"
"5/19/2020","0.25","35.29","4.59","2.25","8.77","4.752","545"
"5/20/2020","2","22.01","6.61","4.88","9.02","3.063","550"
"5/21/2020","0.4","14.44","4.34","2.54","7.55","3.071","507"
