"date","min","max","median"
"3/1/2021","1.52","22.2","6.85"
"3/2/2021","2.52","16.02","6.45"
"3/3/2021","0.2","13.8","1.3"
"3/4/2021","4.22","20.77","11.57"
"3/5/2021","3.75","29.52","9.32"
"3/6/2021","0.5","7.85","2.37"
"3/7/2021","1.27","10.85","3.52"
"3/8/2021","1.5","23","8.02"
"3/9/2021","0.4","12.2","2.5"
"3/10/2021","1.27","37.9","4.2"
"3/11/2021","1.72","41.6","5.17"
"3/12/2021","1.8","8.02","3.8"
"3/13/2021","2.37","25.15","10.63"
"3/14/2021","2.95","23.45","11.22"
"3/15/2021","3.15","12.73","9.5"
"3/16/2021","2.2","13.98","4.87"
"3/17/2021","2.15","21.02","6.61"
"3/18/2021","3.43","15.35","7.28"
"3/19/2021","5.53","40.83","8.85"
"3/20/2021","5.67","55.15","14.41"
"3/21/2021","1.77","15.48","5.22"
"3/22/2021","5.2","20.75","9.22"
"3/23/2021","2.22","24.82","7.97"
"3/24/2021","1.5","14.63","8.36"
"3/25/2021","1.9","9.85","5.42"
"3/26/2021","1.3","15.08","5.53"
"3/27/2021","1.77","29.73","8.84"
"3/28/2021","1.47","41","4.42"
"3/29/2021","1.2","44.5","4.42"
"3/30/2021","3.4","34.45","5.83"
"3/31/2021","4.05","58.73","13"
"4/1/2021","5.85","49.3","18.38"
"4/2/2021","5","52.43","11.04"
"4/3/2021","1.2","23.25","3"
"4/4/2021","1","36.22","10.18"
"4/5/2021","3.1","35.43","11.79"
"4/6/2021","3.05","25.2","11.85"
"4/7/2021","4.09","21.57","9.6"
"4/8/2021","0.4","20.62","3.2"
"4/9/2021","1.42","29.77","6.47"
"4/10/2021","2.08","39.38","12.1"
"4/11/2021","3.52","38.79","7.1"
"4/12/2021","5.12","19.23","9.6"
"4/13/2021","8.44","32.6","20.17"
"4/14/2021","3.95","20.39","10.68"
"4/15/2021","2.1","54.2","11.83"
"4/16/2021","3.5","17.8","6.05"
"4/17/2021","3.22","15","7.09"
"4/18/2021","4.37","19.39","10.32"
"4/19/2021","4.3","13.75","7.58"
"4/20/2021","0.2","12.2","8.4"
"4/21/2021","0.7","22.77","4.3"
"4/22/2021","1.8","19.2","7.24"
"4/23/2021","2.1","18.89","7.95"
"4/24/2021","0.2","11.38","1.37"
"4/25/2021","0.4","19.14","2.27"
"4/26/2021","0.75","8.38","4.9"
"4/27/2021","1.3","10.28","3.52"
"4/28/2021","0.6","16.85","2.34"
"4/29/2021","0.9","23.18","3.15"
"4/30/2021","2.1","11.28","4.55"
"5/1/2021","1.52","11.63","5.62"
"5/2/2021","1.8","128.75","5.07"
