"date","min","max","median"
"2/22/2020","14","89","34.24"
"2/23/2020","0.52","43.86","12.72"
"2/24/2020","0.22","19.38","4.76"
"2/25/2020","1.13","44.11","12.37"
"2/26/2020","9.65","46.64","30.79"
"2/27/2020","8.1","78.2","26.34"
"2/28/2020","3.93","62","20.07"
"2/29/2020","12.08","66.73","40.68"
"3/1/2020","13.8","42.87","26.06"
"3/2/2020","11.8","35.6","22.54"
"3/3/2020","3.15","41.18","23.82"
"3/4/2020","13.14","56.31","39.52"
"3/5/2020","14.02","63.38","26.92"
"3/6/2020","6","127.28","32.49"
"3/7/2020","25.28","62.85","44.68"
"3/8/2020","36.46","95.43","51.09"
"3/9/2020","15.14","70.92","33.32"
"3/10/2020","12.05","40.38","24.89"
"3/11/2020","0.45","64.22","21.46"
"3/12/2020","0.38","44.98","9.24"
"3/13/2020","0","36.2","3.69"
"3/14/2020","0","28.1","3.96"
"3/15/2020","0.55","18.46","9.52"
"3/16/2020","2.8","53.01","16.78"
"3/17/2020","12.48","125.94","37.92"
"3/18/2020","37.94","160.55","62.62"
"3/19/2020","15.23","98.05","37.86"
"3/20/2020","0.46","293.22","4.13"
"3/21/2020","2.76","112.08","12.5"
"3/22/2020","2.43","37.6","11.23"
"3/23/2020","1.74","44.18","9.36"
"3/24/2020","5.82","35.5","12.4"
"3/25/2020","9.19","94","30.12"
"3/26/2020","30.46","113.5","58.58"
"3/27/2020","32.86","158.12","69.29"
"3/28/2020","24.28","83","59.4"
"3/29/2020","22.3","189.64","63.7"
"3/30/2020","1.27","6.88","3.71"
"3/31/2020","0.1","79.7","3.91"
"4/1/2020","2","55.42","23.54"
"4/2/2020","19.55","67.97","33.84"
"4/3/2020","15.7","69.9","47.79"
"4/4/2020","6.5","155.97","43.06"
"4/5/2020","0.28","70.34","10.15"
"4/6/2020","0.75","136.47","20.87"
"4/7/2020","9.07","96.45","20.79"
"4/8/2020","4.78","120.76","32.38"
"4/9/2020","12.44","73.81","35.01"
"4/10/2020","1","283.5","16.79"
"4/11/2020","4.7","88.53","14.09"
"4/12/2020","0.56","55.85","9.03"
"4/13/2020","11.3","28.76","17.55"
"4/14/2020","0.66","57.18","10.65"
"4/15/2020","1.4","22.32","11.26"
"4/16/2020","5.14","330.78","18.3"
"4/17/2020","45.71","370.4","139.69"
"4/18/2020","38.94","324.72","113.13"
"4/19/2020","4.98","153.6","43.04"
"4/20/2020","1.03","28.9","5.05"
"4/21/2020","1.87","36.17","9.52"
"4/22/2020","1.64","71.09","8.82"
"4/23/2020","1.58","40.74","14.5"
"4/24/2020","5.82","88.55","20.64"
"4/25/2020","6.64","57","13.76"
"4/26/2020","1.82","51.26","6.42"
"4/27/2020","0.38","53.17","7.99"
"4/28/2020","1.65","14.82","9.08"
"4/29/2020","5.62","16.72","8.34"
"4/30/2020","5.82","33.95","12.96"
"5/1/2020","5.92","26.54","15.4"
"5/2/2020","3.28","31.2","16.23"
"5/3/2020","4.37","29.32","10.22"
"5/4/2020","5.73","36.31","16.21"
"5/5/2020","6.87","37.97","13.97"
"5/6/2020","1","18.68","8.96"
"5/7/2020","0.82","13.1","4.92"
"5/8/2020","0","26.02","2.92"
"5/9/2020","0.45","46.05","6.97"
"5/10/2020","3.63","27.32","13.72"
"5/11/2020","3.98","30.66","7.13"
"5/12/2020","0","21.44","3.37"
"5/13/2020","0","9.94","1.02"
"5/14/2020","0.32","25.44","5.81"
"5/15/2020","0.5","15.97","5.24"
"5/16/2020","2.85","18.5","7"
"5/17/2020","3.88","21.9","11.86"
"5/18/2020","0.32","17.28","3.03"
"5/19/2020","3.02","42.99","18.2"
"5/20/2020","0.28","30.6","2.38"
"5/21/2020","0","11","1.2"
"5/22/2020","0","8.43","1.13"
"5/23/2020","0","19.39","3.5"
"5/24/2020","0.2","18.8","3.6"
"5/25/2020","0.2","24.4","7.8"
"5/26/2020","0","21","8.9"
"5/27/2020","0","29.8","8.7"
"5/28/2020","1.2","17.5","9.5"
"5/29/2020","3.1","30","12.5"
"5/30/2020","0","32","3.8"
"5/31/2020","0","21.2","3"
"6/1/2020","0","15.6","1.4"
"6/2/2020","0","19","2.6"
"6/3/2020","0","27.9","4.09"
"6/4/2020","0","43.9","4.09"
"6/5/2020","1.7","32.5","10.81"
"6/6/2020","0.3","37.3","15.8"
"6/7/2020","0.1","26.7","6"
"6/8/2020","0","16.7","5.8"
"6/9/2020","0","17","4.19"
"6/11/2020","0","36.9","3.1"
"6/12/2020","0","20.22","6.2"
"6/13/2020","0.67","21.5","8"
"6/14/2020","1.9","26.3","11.9"
"6/15/2020","0.9","29","12.5"
"6/16/2020","0.11","22.9","5.7"
"6/17/2020","0","29.8","10.27"
"6/18/2020","1","19.8","9.27"
"6/19/2020","0.22","20","4"
"6/20/2020","0.22","24.8","11.4"
"6/21/2020","0.11","22.3","7.79"
"6/22/2020","1.33","19.9","9.19"
"6/23/2020","1.82","34.9","14.9"
"6/24/2020","0","34.5","4.8"
"6/25/2020","0","28.5","7.44"
"6/26/2020","0.4","34.7","8.81"
"6/27/2020","1.22","42.1","7.73"
"6/28/2020","3.9","29.6","12.5"
"6/29/2020","3.89","28.1","13.3"
"6/30/2020","0","29.8","9.4"
"7/1/2020","2","26.3","9.27"
"7/2/2020","0.09","21.6","8.47"
"7/3/2020","0.1","27.9","11.7"
"7/4/2020","3.1","27.4","14.73"
"7/5/2020","0","25","13.2"
"7/6/2020","4.2","43.6","10.1"
"7/7/2020","0.1","28.5","12.1"
"7/8/2020","0","7.6","2"
"7/9/2020","0","24.3","5.1"
"7/10/2020","1","19.7","7.6"
"7/11/2020","0.3","28.64","7.8"
"7/12/2020","4.1","23.3","11.5"
"7/13/2020","0","7.4","2.5"
"7/14/2020","0","18.1","2.5"
"7/15/2020","0","8.9","2.8"
"7/16/2020","0.3","28.6","6.18"
"7/17/2020","0.9","178","7.45"
"7/18/2020","0.4","59.36","7.95"
"7/19/2020","0.2","25.6","5.9"
"7/20/2020","1.5","22.1","7.2"
"7/21/2020","0.6","28","10.4"
"7/22/2020","0","5.6","2"
"7/23/2020","0","15.5","2"
"7/24/2020","0","21.36","3.4"
"7/25/2020","3.18","21.5","6.8"
"7/26/2020","4.4","24.6","13.53"
"7/27/2020","5.8","40.1","18.1"
"7/28/2020","2.3","39.82","13.27"
"7/29/2020","2.5","22.1","14.2"
"7/30/2020","1.9","40.4","15.3"
"7/31/2020","0","33.64","5.15"
"8/1/2020","0","29.2","4.59"
"8/2/2020","0","14","3.4"
"8/3/2020","0.6","36.1","5.9"
"8/4/2020","0","22","6.1"
"8/5/2020","2.1","21.8","12.3"
"8/6/2020","3.9","38.6","10.1"
"8/7/2020","5.6","33.9","20.3"
"8/9/2020","8.5","36.9","12.4"
"8/10/2020","0.7","21.2","8.8"
"8/11/2020","0.4","32.6","9.2"
"8/12/2020","0","9.7","2.3"
"8/13/2020","0","29.6","3.7"
"8/14/2020","0","19.4","4.1"
"8/15/2020","0","32.4","3.5"
"8/16/2020","0.1","147.3","6"
"8/17/2020","0.8","48.7","9.19"
"8/18/2020","0","45","11.05"
"8/19/2020","1.7","31.7","11.6"
"8/20/2020","2","34.8","16.89"
"8/21/2020","7.7","42.4","21.7"
"8/22/2020","0.3","32.8","13.5"
"8/23/2020","8.2","21.2","15.05"
"8/24/2020","15.1","36.6","28.4"
"8/25/2020","0.7","96.6","15"
"8/26/2020","1.4","32.5","6.7"
"8/27/2020","0","25.7","4"
"8/28/2020","0","24.2","4.2"
"8/29/2020","0","21","6.1"
"8/30/2020","0.2","11.2","3.8"
"8/31/2020","0","19.39","5"
"9/1/2020","0.5","35","14"
"9/2/2020","0.7","52.2","11.6"
"9/3/2020","5.7","34.7","17.8"
"9/4/2020","4.8","38.2","14.1"
"9/5/2020","0.4","40.6","13.45"
"9/6/2020","1.3","36.54","15.5"
"9/7/2020","0","34.2","12.43"
"9/8/2020","0","15.4","2.6"
"9/9/2020","1.6","59.18","10.19"
"9/10/2020","0.7","26.8","13.4"
"9/11/2020","0","17.6","4.09"
"9/12/2020","0","31.82","5.7"
"9/13/2020","0.9","33.09","8.69"
"9/14/2020","0.5","31","5.3"
"9/15/2020","1","45.7","7.6"
"9/16/2020","5","11.5","8.4"
"9/17/2020","0","40","8.1"
"9/18/2020","0","4","0.2"
"9/19/2020","0","40.9","2.29"
"9/20/2020","0","42.6","4.45"
"9/21/2020","1.8","38","11.64"
"9/22/2020","0.4","23.2","7.9"
"9/23/2020","1.27","36.36","17"
"9/24/2020","1.8","78","25.2"
"9/25/2020","3.64","44.7","23"
"9/26/2020","4.59","38.82","15.43"
"9/27/2020","0.4","30.4","16.89"
"9/28/2020","0.5","35.6","5"
"9/29/2020","3.2","37.9","13"
"9/30/2020","0.4","42.8","15.4"
"10/1/2020","1.6","40.6","15.05"
"10/2/2020","6","44.4","17.89"
"10/3/2020","9.6","44","29.4"
"10/4/2020","8","41","21.91"
"10/5/2020","0.2","36.7","8.18"
"10/6/2020","1.3","29.5","7.9"
"10/7/2020","1.7","27.9","12.64"
"10/8/2020","1.8","34","15.3"
"10/9/2020","0.2","38.6","14.55"
"10/10/2020","6.36","51.3","20"
"10/11/2020","2.2","70.4","24.3"
"10/12/2020","9.6","62.8","33.7"
"10/13/2020","9.3","47.4","28.8"
"10/14/2020","0","26.9","4.57"
"10/15/2020","0.4","46.09","7.2"
"10/16/2020","1","29.64","15.7"
"10/17/2020","0","30.6","13.2"
"10/18/2020","0","31.2","1.8"
"10/19/2020","0","36.6","9.3"
"10/20/2020","0","43.9","17.75"
"10/21/2020","2.1","60","25.96"
"10/22/2020","1.4","37","24.2"
"10/23/2020","14.9","42.6","26.9"
"10/24/2020","8.1","60.9","34.7"
"10/25/2020","2.7","45.7","13.24"
"10/26/2020","2.82","44.9","17.45"
"10/27/2020","7.18","57.4","19.82"
"10/28/2020","12.73","59.6","30.8"
"10/29/2020","7","61.5","45.5"
"10/30/2020","0.82","153.3","40.81"
"10/31/2020","0.4","41.9","8.8"
"11/1/2020","1.4","32.7","11.8"
"11/2/2020","1","49.8","14"
"11/3/2020","8","60.5","23.3"
"11/4/2020","7.2","56.7","19.6"
"11/5/2020","6.45","52.5","33.4"
"11/6/2020","2.2","42.9","14.2"
"11/7/2020","0.2","34.9","7.8"
"11/8/2020","1.4","39.5","18.7"
"11/9/2020","0.4","40.79","16.95"
"11/10/2020","0.2","92.4","17.8"
"11/11/2020","6","32.4","18.89"
"11/12/2020","6.3","43.3","23.8"
"11/13/2020","17.6","56.45","36.5"
"11/14/2020","34.64","54.1","46"
"11/15/2020","13.6","56.2","41.7"
"11/16/2020","9.36","55.4","39.45"
"11/17/2020","1.4","33.79","17.23"
"11/18/2020","2.7","54.09","30.9"
"11/19/2020","5.3","61.8","34.15"
"11/20/2020","2.64","62.2","15.8"
"11/21/2020","0.2","40.5","16.85"
"11/22/2020","0.4","30.8","12.3"
"11/23/2020","1.9","52.4","24.1"
"11/24/2020","0.9","30.18","12.8"
"11/25/2020","7.3","55.3","23.8"
"11/26/2020","11","56.8","44.3"
"11/27/2020","4.8","71.59","49"
"11/28/2020","15.8","72.9","45.1"
"11/29/2020","7.91","63.4","39.6"
"11/30/2020","9.4","184.5","36.7"
"12/1/2020","3.4","37.4","20.25"
"12/2/2020","3.8","36","21.8"
"12/3/2020","11.4","49.3","35"
"12/4/2020","11","52.5","35.6"
"12/5/2020","8.3","46.5","32.7"
"12/6/2020","0.6","29.9","10.91"
"12/7/2020","1.4","33.4","10.8"
"12/8/2020","0.2","22.5","13.8"
"12/9/2020","2.09","31.5","17.1"
"12/10/2020","4.9","44.1","27.75"
"12/11/2020","7.8","42.27","23.8"
"12/12/2020","4.8","110.9","24.7"
"12/13/2020","6.7","47.3","26.2"
"12/14/2020","10.5","58.6","25.25"
"12/15/2020","2.2","55.2","35.2"
"12/16/2020","11.6","48.2","26.3"
"12/17/2020","10","110.9","47.7"
"12/18/2020","6.3","108.8","36.6"
"12/19/2020","8.69","122.55","34.2"
"12/20/2020","1.64","44.64","19.85"
"12/21/2020","2.4","26.6","11.35"
"12/22/2020","5.2","57.2","20.9"
"12/23/2020","7","39.2","22.4"
"12/24/2020","0.7","36.7","18.1"
"12/25/2020","0","50.4","9.6"
"12/26/2020","0.7","67.9","15.65"
"12/27/2020","0.2","63","16"
"12/28/2020","9.9","35.6","20.7"
"12/29/2020","6.1","48.2","23.6"
"12/30/2020","10.7","45.6","28.3"
"12/31/2020","13.9","267.1","26.2"
"1/1/2021","0.5","70.3","21.4"
"1/2/2021","2","66.5","20.5"
"1/3/2021","7.3","59.1","24.7"
"1/4/2021","7.9","51.2","35.79"
"1/5/2021","6.6","45.3","30"
"1/6/2021","3.5","52.6","38.7"
"1/7/2021","0","37.2","15.2"
"1/8/2021","0","66.7","14.7"
"1/9/2021","12.7","61.1","39.6"
"1/10/2021","2.9","50.8","21.62"
"1/11/2021","7.3","98","45.8"
"1/12/2021","4.7","57.3","21.9"
"1/13/2021","2.5","47.7","17.2"
"1/14/2021","6.1","45.2","23.3"
"1/15/2021","2.2","34","14.4"
"1/16/2021","0","72.5","10.9"
"1/17/2021","2.3","122.9","41.2"
"1/18/2021","0.9","71.3","23.7"
"1/19/2021","0.6","247.1","22.1"
"1/20/2021","12.9","191.9","41.8"
"1/21/2021","3.2","50.6","39.4"
"1/22/2021","13.4","55.5","44.2"
"1/23/2021","19.5","51.8","35.04"
"1/24/2021","6.6","35.6","20.2"
"1/25/2021","0.7","35.3","18"
"1/26/2021","0.9","26.9","11.5"
"1/27/2021","6","59.4","19.39"
"1/28/2021","1.1","38.9","15.28"
"1/29/2021","2.4","48.4","18.3"
"1/30/2021","5.6","105.1","31.3"
"1/31/2021","2.45","72.5","20.05"
"2/1/2021","5","75.7","27.1"
"2/2/2021","3.5","56.6","20.5"
"2/3/2021","14.8","55.1","38.79"
"2/4/2021","1","82.8","26.1"
"2/5/2021","0","16.7","6.85"
"2/6/2021","0.9","69.9","13.82"
"2/7/2021","1.4","53.45","14.4"
"2/8/2021","0","14.7","6"
"2/9/2021","0","57.91","23.1"
"2/10/2021","4.2","49.7","23.35"
"2/11/2021","2.6","26.6","13.9"
"2/12/2021","0","15","5.25"
"2/13/2021","0","12.3","2"
"2/14/2021","0","134.9","4.34"
"2/15/2021","0.2","58.5","14.2"
"2/16/2021","0.18","109.8","16.28"
"2/17/2021","7.1","45.82","24.2"
"2/18/2021","5.8","142.69","30.15"
"2/19/2021","8.19","114.5","28"
"2/20/2021","2.5","87","44.4"
"2/21/2021","11.6","126.9","52.2"
"2/22/2021","17.6","81.9","46.8"
"2/23/2021","5","59.7","41.05"
"2/24/2021","8.91","132.2","61.05"
"2/25/2021","22.3","137.9","53"
"2/26/2021","9.5","84.6","54.3"
"2/27/2021","0","22.2","6.8"
"2/28/2021","0","35.5","5"
"3/1/2021","0.2","39.29","13.58"
"3/2/2021","0.7","35","16.5"
"3/3/2021","1.2","64.91","7.95"
"3/4/2021","21","61.3","45.4"
"3/5/2021","2","89.8","17.1"
"3/6/2021","0","47.7","3.7"
"3/7/2021","2.7","37.79","18.8"
"3/8/2021","0","40","4.09"
"3/9/2021","0.2","128.1","7.72"
"3/10/2021","0.36","182.2","12.4"
"3/11/2021","2.8","55.8","13.9"
"3/12/2021","0.6","34.6","15.45"
"3/13/2021","16.8","63.09","34.29"
"3/14/2021","4.3","48.8","32.29"
"3/15/2021","22.09","57.4","44.7"
"3/16/2021","17.39","50.3","28.9"
